epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,131.131,1.79581,3.9708,1.62276,0.00614,0.77027,0.36031,0.15489,1.87147,8.80155,1.74086,0.000541044,0.000541044,0.000541044
2,257.653,1.67423,3.6047,1.51632,0.00815,0.78378,0.14116,0.06494,1.88934,8.65509,1.67805,0.00106957,0.00106957,0.00106957
3,375.219,1.83954,3.55572,1.61927,0.03707,0.10811,0.014,0.00378,2.11945,14.181,2.25602,0.00157058,0.00157058,0.00157058
4,494.661,1.92063,3.56226,1.64086,0.01287,0.2027,0.00872,0.00323,2.16805,20.1551,2.32825,0.00154323,0.00154323,0.00154323
5,612.319,1.9257,3.30641,1.60312,0.17116,0.17581,0.05808,0.02072,2.29867,13.4175,2.40081,0.00150197,0.00150197,0.00150197
6,734.119,1.9035,3.17671,1.62985,0.07676,0.13514,0.0321,0.01096,2.29681,13.5599,2.22663,0.00146071,0.00146071,0.00146071
7,850.45,1.80501,2.97079,1.64497,0.02521,0.18919,0.01843,0.00633,2.2483,40.8936,2.2911,0.00141945,0.00141945,0.00141945
8,967.522,1.89989,3.06079,1.70784,0.08446,0.13714,0.05198,0.02073,1.9673,12.0366,2.04291,0.00137819,0.00137819,0.00137819
9,1087.78,1.88302,2.87098,1.64325,0.10189,0.16216,0.05565,0.01918,1.98547,10.5379,1.93001,0.00133693,0.00133693,0.00133693
10,1206.27,1.85567,2.84737,1.61331,0.21525,0.21132,0.10199,0.03485,2.01222,9.07657,1.97162,0.00129568,0.00129568,0.00129568
11,1328.28,1.79579,2.82669,1.62374,0.18982,0.18919,0.1273,0.05559,1.99469,10.5322,1.98518,0.00125442,0.00125442,0.00125442
12,1448.73,1.7294,2.62791,1.54346,0.21679,0.22973,0.13474,0.05774,2.0082,12.341,1.96984,0.00121316,0.00121316,0.00121316
13,1570.38,1.77861,2.50881,1.53802,0.18627,0.24324,0.13536,0.07105,1.83623,12.4625,1.78368,0.0011719,0.0011719,0.0011719
14,1690.59,1.72643,2.55032,1.53698,0.07523,0.24324,0.06143,0.02106,2.00813,8.96869,2.02,0.00113064,0.00113064,0.00113064
15,1807.52,1.66542,2.41931,1.51386,0.13454,0.18919,0.10371,0.03449,2.05618,8.59465,2.13102,0.00108938,0.00108938,0.00108938
16,1927.26,1.67826,2.37807,1.49213,0.29081,0.21622,0.21585,0.08186,1.9282,8.41949,2.03278,0.00104813,0.00104813,0.00104813
17,2047.75,1.62236,2.26956,1.4271,0.34963,0.27027,0.23379,0.09419,1.88693,6.48156,2.00753,0.00100687,0.00100687,0.00100687
18,2165.25,1.63846,2.38704,1.47645,0.38946,0.28448,0.28363,0.11238,1.9777,7.23933,2.04792,0.00096561,0.00096561,0.00096561
